"Date","Description","Comments","Check Number","Amount","Balance"
"07/03/2014","SLABTOWN BAR SLABTOWN BAR PORTLAND OR DBT PURCHASE ON 07/01 @ 04:57 CARD NBR: -2554","","","($30.00)","$10.81"
"07/03/2014","ONLINE TRANSFER","","","$1,000.00","$1,010.81"
"07/03/2014","ONLINE TRANSFER For Vanguard wi","","","($250.00)","$760.81"
"07/04/2014","BARISTA BARISTA PORTLAND OR DBT PURCHASE ON 07/03 @ 05:02 CARD NBR: -0513","","","($4.75)","$756.06"
"07/04/2014","THE CIRCUIT BOU THE CIRCUIT BOULDERING PORTLAND OR DBT PURCHASE ON 07/02 @ 05:02 CARD NBR: -2554","","","($2.00)","$754.06"
"07/04/2014","VIA CHICAGO VIA CHICAGO PORTLAND OR DBT PURCHASE ON 07/03 @ 20:18 CARD NBR: -0513","","","($8.50)","$745.56"
"07/05/2014","THE KIVA GROCER THE KIVA GROCER 125 W 1 EUGENE OR DBT PURCHASE ON 07/05 @ 19:57 CARD NBR: -0513","","","($48.50)","$697.06"
"07/06/2014","RITE AID CORP. RITE AID CORP. EUGENE OR DBT PURCHASE ON 07/05 @ 23:37 CARD NBR: -0513","","","($8.50)","$688.56"
"07/06/2014","LUBE IT USA LUBE IT USA EUGENE OR DBT PURCHASE ON 07/05 @ 04:37 CARD NBR: -2554","","","($7.00)","$681.56"
"07/06/2014","NEW SEASONS MAR 3445 N WILLIAMS PORTLAND OR POS PURCHASE ON 07/06 @ 16:26 CARD NBR: -0513","","","($101.16)","$580.40"
"07/06/2014","MARKET OF CHOIC MARKET OF CHOICE WILLAM EUGENE OR DBT PURCHASE ON 07/05 @ 20:43 CARD NBR: -0513","","","($1.59)","$578.81"
"07/06/2014","5TH QUADRANT 5TH QUADRANT PORTLAND OR DBT PURCHASE ON 07/04 @ 20:43 CARD NBR: -2554","","","($4.00)","$574.81"
"07/06/2014","KENNY AND ZUKES KENNY AND ZUKES DELI B PORTLAND OR DBT PURCHASE ON 07/04 @ 20:43 CARD NBR: -2554","","","($51.00)","$523.81"
"07/08/2014","THE WAYPOST THE WAYPOST PORTLAND OR DBT PURCHASE ON 07/06 @ 04:56 CARD NBR: -2554","","","($19.50)","$504.31"
"07/08/2014","ONLINE TRANSFER","","","$3,500.00","$4,004.31"
"07/08/2014","ONLINE TRANSFER","","","($3,218.27)","$786.04"
"07/09/2014","NEW SEASONS MAR 3445 N WILLIAMS PORTLAND OR POS PURCHASE ON 07/09 @ 18:14 CARD NBR: -2554","","","($26.98)","$759.06"
"07/10/2014","THE WAYPOST THE WAYPOST PORTLAND OR DBT PURCHASE ON 07/08 @ 04:56 CARD NBR: -2554","","","($13.00)","$746.06"
"07/11/2014","SQ *LOYLY SAUNA SQ *LOYLY SAUNA PORTLAND OR DBT PURCHASE ON 07/10 @ 05:01 CARD NBR: -0513","","","($105.00)","$641.06"
"07/11/2014","METROMILE INS S METROMILE INS SVC LLC 888-244-1702 CA DBT PURCHASE ON 07/10 @ 09:51 CARD NBR: -0513","","","($82.00)","$559.06"
"07/12/2014","NEW SEASONS MAR 3445 N WILLIAMS PORTLAND OR POS PURCHASE ON 07/11 @ 21:01 CARD NBR: -2554","","","($5.98)","$553.08"
"07/12/2014","COURIER COFFEE COURIER COFFEE PORTLAND OR DBT PURCHASE ON 07/11 @ 09:41 CARD NBR: -0513","","","($10.00)","$543.08"
"07/12/2014","ONLINE TRANSFER","","","$400.00","$943.08"
"07/12/2014","ONLINE TRANSFER","","","($50.00)","$893.08"
"07/13/2014","BARISTA BARISTA PORTLAND OR DBT PURCHASE ON 07/12 @ 08:16 CARD NBR: -2554","","","($7.00)","$886.08"
"07/13/2014","NEW SEASONS MAR 3445 N WILLIAMS PORTLAND OR POS PURCHASE ON 07/13 @ 14:47 CARD NBR: -2554","","","($7.98)","$878.10"
