"Date","Description","Comments","Check Number","Amount","Balance"
"07/06/2014","SQ *THE BARN LI SQ *THE BARN LIGHT EUGENE OR DBT PURCHASE ON 07/05 @ 23:37 CARD NBR: -6341","","","($9.00)","$1,791.56"
"07/06/2014","5TH QUADRANT 5TH QUADRANT PORTLAND OR DBT PURCHASE ON 07/04 @ 20:44 CARD NBR: -6341","","","($23.00)","$1,768.56"
"07/07/2014","KNOTT STREET GR KNOTT STREET GROCERY PORTLAND OR DBT PURCHASE ON 07/04 @ 04:52 CARD NBR: -6341","","","($7.39)","$1,761.17"
"07/07/2014","SIZZLE PIE - EU SIZZLE PIE - EUGENE EUGENE OR DBT PURCHASE ON 07/05 @ 04:52 CARD NBR: -6341","","","($14.00)","$1,747.17"
"07/07/2014","COBURG RD 76 COBURG RD 76 EUGENE OR DBT PURCHASE ON 07/06 @ 09:36 CARD NBR: -6341","","","($32.12)","$1,715.05"
"07/07/2014","BENESSERE INC BENESSERE INC PORTLAND OR DBT PURCHASE ON 07/07 @ 20:17 CARD NBR: -6341","","","($19.00)","$1,696.05"
"07/08/2014","HUMBLE BAGEL CO HUMBLE BAGEL COMPANY EUGENE OR DBT PURCHASE ON 07/06 @ 04:57 CARD NBR: -6341","","","($13.10)","$1,682.95"
"07/08/2014","ONLINE TRANSFER","","","$3,218.27","$4,901.22"
"07/08/2014","CHECK NUMBER 1070 71479284","","1070","($1,475.00)","$3,426.22"
"07/09/2014","SQ *RISTRETTO R SQ *RISTRETTO ROASTERS PORTLAND OR DBT PURCHASE ON 07/08 @ 23:41 CARD NBR: -6341","","","($6.25)","$3,419.97"
"07/09/2014","SQ *BLUE HOUSE SQ *BLUE HOUSE GREENHOU PORTLAND OR DBT PURCHASE ON 07/08 @ 04:51 CARD NBR: -6341","","","($30.50)","$3,389.47"
"07/09/2014","DEPT EDUCATION STUDENT LN","","","($3,218.27)","$171.20"
"07/10/2014","5TH QUADRANT 5TH QUADRANT PORTLAND OR DBT PURCHASE ON 07/08 @ 04:57 CARD NBR: -6341","","","($17.50)","$153.70"
"07/10/2014","ENVIROMENTAL SYS PAYROLL","","","$2,307.28","$2,460.98"
"07/11/2014","SQ *RISTRETTO R SQ *RISTRETTO ROASTERS PORTLAND OR DBT PURCHASE ON 07/11 @ 20:17 CARD NBR: -6341","","","($12.94)","$2,448.04"
"07/12/2014","XV XV PORTLAND OR DBT PURCHASE ON 07/10 @ 05:02 CARD NBR: -6341","","","($5.00)","$2,443.04"
"07/12/2014","XV XV PORTLAND OR DBT PURCHASE ON 07/10 @ 05:02 CARD NBR: -6341","","","($11.00)","$2,432.04"
"07/12/2014","GROUND KONTROL GROUND KONTROL CLASSIC PORTLAND OR DBT PURCHASE ON 07/10 @ 09:41 CARD NBR: -6341","","","($5.50)","$2,426.54"
"07/12/2014","ONLINE TRANSFER","","","($687.50)","$1,739.04"
"07/12/2014","ONLINE TRANSFER","","","($500.00)","$1,239.04"
"07/12/2014","ONLINE TRANSFER","","","($400.00)","$839.04"
"07/12/2014","NEW SEASONS MAR 3445 N WILLIAMS PORTLAND OR POS PURCHASE ON 07/12 @ 15:33 CARD NBR: -6341","","","($38.55)","$800.49"
"07/13/2014","TRIMET TVM TRIMET TVM PORTLAND OR DBT PURCHASE ON 07/12 @ 08:16 CARD NBR: -6341","","","($2.50)","$797.99"
"07/13/2014","ECSI UNIVERSITY ECSI UNIVERSITY OF OREG ECSI.NET PA DBT PURCHASE ON 07/12 @ 20:44 CARD NBR: -6341","","","($231.77)","$566.22"
"07/14/2014","EX NOVO BREWING EX NOVO BREWING COMPAN PORTLAND OR DBT PURCHASE ON 07/11 @ 23:46 CARD NBR: -6341","","","($25.00)","$541.22"
"07/14/2014","ARTBOXPRINT.COM ARTBOXPRINT.COM DENVER CO DBT PURCHASE ON 07/11 @ 04:57 CARD NBR: -6341","","","($7.75)","$533.47"
"07/14/2014","THE WAYPOST THE WAYPOST PORTLAND OR DBT PURCHASE ON 07/13 @ 04:57 CARD NBR: -6341","","","($15.00)","$518.47"
"07/15/2014","DEPT EDUCATION STUDENT LN","","","($534.00)","($15.53)"
"07/15/2014","EOD NSF FEE","","","($25.00)","($40.53)"
"07/16/2014","VERIZON WIRELESS PAYMENTS","","","($83.10)","($123.63)"
"07/16/2014","EOD NSF FEE","","","($25.00)","($148.63)"
"07/22/2014","Mobile Xfer: SV0747 to CK7419","","","$200.00","$51.37"
"07/23/2014","BARISTA BARISTA PORTLAND OR DBT PURCHASE ON 07/22 @ 04:52 CARD NBR: -6341","","","($8.75)","$42.62"
"07/23/2014","GREEK EXPRESS GREEK EXPRESS PORTLAND OR DBT PURCHASE ON 07/22 @ 04:52 CARD NBR: -6341","","","($6.50)","$36.12"
"07/23/2014","SQ *BLUE HOUSE SQ *BLUE HOUSE GREENHOU PORTLAND OR DBT PURCHASE ON 07/22 @ 09:41 CARD NBR: -6341","","","($27.50)","$8.62"
"07/23/2014","Mobile Xfer: SV0747 to CK7419","","","$100.00","$108.62"
"07/24/2014","NEW SEASONS MAR 3445 N WILLIAMS PORTLAND OR POS PURCHASE ON 07/23 @ 20:11 CARD NBR: -6341","","","($11.78)","$96.84"
"07/24/2014","WESTEND BIKES WESTEND BIKES PORTLAND OR DBT PURCHASE ON 07/23 @ 09:47 CARD NBR: -6341","","","($0.57)","$96.27"
"07/24/2014","WESTEND BIKES WESTEND BIKES PORTLAND OR DBT PURCHASE ON 07/23 @ 09:47 CARD NBR: -6341","","","($24.98)","$71.29"
"07/24/2014","BOWERY BAGELS BOWERY BAGELS PORTLAND OR DBT PURCHASE ON 07/23 @ 09:47 CARD NBR: -6341","","","($8.05)","$63.24"
"07/25/2014","ENVIROMENTAL SYS PAYROLL","","","$1,894.48","$1,957.72"
"07/25/2014","PAYMENT TO LOC : NL 1201058043","","","($10.00)","$1,947.72"
"07/25/2014","MEE-SEN MEE-SEN PORTLAND OR DBT PURCHASE ON 07/23 @ 09:47 CARD NBR: -6341","","","($41.00)","$1,906.72"
"07/26/2014","Mobile Xfer: CK7419 to CK4233","","","($200.00)","$1,706.72"
"07/27/2014","SQ *BIKE FARM SQ *BIKE FARM PORTLAND OR DBT PURCHASE ON 07/26 @ 23:36 CARD NBR: -6341","","","($16.00)","$1,690.72"
"07/27/2014","NEW SEASONS MAR 3445 N WILLIAMS PORTLAND OR POS PURCHASE ON 07/27 @ 16:34 CARD NBR: -6341","","","($18.28)","$1,672.44"
"07/27/2014","QUESABROSA QUESABROSA PORTLAND OR DBT PURCHASE ON 07/26 @ 20:48 CARD NBR: -6341","","","($17.00)","$1,655.44"
"07/28/2014","THE WAYPOST THE WAYPOST PORTLAND OR DBT PURCHASE ON 07/26 @ 06:22 CARD NBR: -6341","","","($11.00)","$1,644.44"
"07/28/2014","WHOLE FOODS MAR 1210 NW Couch St Portland OR POS PURCHASE ON 07/28 @ 12:39 CARD NBR: -6341","","","($39.92)","$1,604.52"
"07/28/2014","ONLINE TRANSFER","","","$500.00","$2,104.52"
"07/28/2014","EAST BURN EAST BURN PORTLAND OR DBT PURCHASE ON 07/27 @ 20:12 CARD NBR: -6341","","","($24.00)","$2,080.52"
"07/29/2014","SQ *LAURETTA JE SQ *LAURETTA JEAN'S PORTLAND OR DBT PURCHASE ON 07/28 @ 04:51 CARD NBR: -6341","","","($6.50)","$2,074.02"
"07/30/2014","ROCKYMTN-PACIFIC POWER BILL","","","($126.09)","$1,947.93"
"07/31/2014","CHECK NUMBER 1071 72658672","","1071","($517.00)","$1,430.93"
